epoch,train_loss,train_accuracy,train_macro_f1,valid_loss,valid_accuracy,valid_macro_f1
1,0.9443744130432605,0.672604718343765,0.6707290677583527,0.7196315717023726,0.7261330761812922,0.7049455122670087
2,0.2806446130602406,0.8979297063071738,0.8968940267005627,0.29546382882489036,0.8919961427193829,0.8919429725623356
3,0.19146358974349614,0.9359653346172364,0.9356176027580783,0.21927585339558742,0.9238187078109933,0.9241345418970068
4,0.12910808026790618,0.9518536350505536,0.9514884674775836,0.14579352121307657,0.9517839922854388,0.9525050798274441
5,0.10550840075503891,0.9626865671641791,0.96235594829044,0.15687675480115174,0.9431051108968177,0.942423043526543
6,0.08335623482170586,0.9706307173808377,0.9705103384645788,0.3306059737576736,0.8833172613307618,0.8757165218659613
7,0.07554721282615971,0.9727973038035629,0.9726913820766363,0.17470451900808256,0.9334619093539055,0.9309561017318259
8,0.05777210412958923,0.9792970630717381,0.9791695314615128,0.3215853733261331,0.9026036644165863,0.9047365136893224
9,0.05605596016282036,0.9800192585459798,0.9799189128604417,0.10984650369526627,0.9556412729026037,0.9550014239009068
10,0.06186939182673366,0.9776119402985075,0.9775266305343279,0.11370187477038529,0.9614271938283511,0.9606952839788256
11,0.0328919766288891,0.9894077997111218,0.9893564082453761,0.1465537979620981,0.9566055930568949,0.9565597533410481
12,0.059732181705756095,0.9776119402985075,0.9775472826629438,0.1517499688148746,0.9498553519768563,0.9489489603506114
13,0.04401627531613205,0.9826673086181993,0.9825482044811573,0.09607515041465586,0.9662487945998072,0.9653782843362481
14,0.017735359821717093,0.9951853635050554,0.9951821496593725,0.25133153516184253,0.9238187078109933,0.9250549875693207
15,0.035090172264020884,0.9894077997111218,0.9893847839941277,0.1701336457553085,0.9459980713596914,0.9456387547015804
16,0.04243322478958782,0.9855560905151661,0.9855641713013727,0.31140508846414544,0.8939247830279653,0.8924208065145453
17,0.025265213702760567,0.9920558497833414,0.992020297361051,0.07929305424432082,0.9729990356798457,0.9728165979660004
18,0.027184580382219374,0.9930187770823303,0.9929904326306814,0.07310007134575515,0.9778206364513018,0.9776357835203413
19,0.035814587537998495,0.9884448724121329,0.9884270934746058,0.09436006409404785,0.9672131147540983,0.966505121030457
20,0.03441971253408925,0.9874819451131439,0.9873795189175718,0.17002939714307802,0.9556412729026037,0.9546718598463435
21,0.038454202789300604,0.9872412132883968,0.987230025959837,0.08132717389857344,0.970106075216972,0.9701014478742924
22,0.010906834759953198,0.9963890226287915,0.996355601047553,0.06118070072348193,0.9797492767598843,0.9796479686282747
23,0.03338034238302918,0.9915743861338469,0.9915669394839417,0.1134738929061506,0.9691417550626809,0.9693244162568795
24,0.008996728521602703,0.9980741454020221,0.9980542266723857,0.08422328985623329,0.9787849566055931,0.9785927149462702
25,0.021412233827126887,0.9925373134328358,0.9924951552642666,0.11211889421527897,0.9652844744455159,0.9652976784244462
26,0.02229662687297185,0.9922965816080885,0.9923109740590306,0.06499020082686247,0.9807135969141755,0.9803301503538148
27,0.03685251755763462,0.9903707270101108,0.990348466811664,0.05572686900448633,0.982642237222758,0.9826375886340388
28,0.030105151403698144,0.9918151179585941,0.99183894756036,0.15067770287338428,0.9614271938283511,0.9609479460094523
29,0.02746306867086857,0.9918151179585941,0.9918185807558102,0.1002509069156601,0.9729990356798457,0.97317520139651
30,0.012572705023677163,0.9963890226287915,0.9963690719849472,0.09937148772348267,0.970106075216972,0.9699891403132526
