epoch,train_loss,train_accuracy,train_macro_f1,valid_loss,valid_accuracy,valid_macro_f1
1,1.4884292176275542,0.5026480500722196,0.4859852055465395,1.3963297870424058,0.47444551591128253,0.40202582094091194
2,0.9847283291094231,0.6793452094366875,0.6718474378643204,0.7881252649757597,0.7029893924783028,0.6815505678649596
3,0.6784146193302039,0.7792489167067886,0.7720792262915838,0.5866925656381581,0.7647058823529411,0.756924196777037
4,0.4523816171920661,0.8502648050072219,0.8460355596752428,0.40433767272366417,0.8302796528447445,0.816206680943599
5,0.3497286655686118,0.8796340876263842,0.879183583749449,1.0293784378510382,0.6817743490838959,0.6496230576845847
6,0.2899050504872293,0.9005777563793933,0.8998609179379176,0.30432333010766244,0.8823529411764706,0.8814269465939708
7,0.22742258870240414,0.9268175252768416,0.9263015560992511,0.18873631581664085,0.9238187078109933,0.9229184231766303
8,0.19343720557111682,0.9393355801636977,0.9393070526979186,0.40890747375993264,0.8129218900675024,0.7979352855483713
9,0.15311297796892398,0.9549831487722676,0.9548720930567436,1.0824185907840729,0.6557377049180327,0.6155287985889184
10,0.14453543474276861,0.9557053442465094,0.9556414514023384,0.24988071646334398,0.9093539054966249,0.9120710632585999
11,0.12442703804734981,0.9610014443909485,0.9609592232145432,1.387434768697454,0.5747348119575699,0.5680672001275567
12,0.13196644988475423,0.9559460760712566,0.9559955205896082,0.27111761639308596,0.8939247830279653,0.8930984933594349
13,0.0779642022468827,0.9783341357727492,0.9781899604250706,0.09335307181916302,0.9623915139826422,0.9630517686709804
14,0.08429673703556712,0.974000962927299,0.9739899583641878,0.5215009660460055,0.819672131147541,0.8012694620520551
15,0.06410815036206534,0.9826673086181993,0.9825863843296183,0.09854043766649233,0.9652844744455159,0.9648170802566478
16,0.05603013046537385,0.9848338950409244,0.9848221643168311,0.35447470466088915,0.8813886210221794,0.8609535251407856
17,0.0671009345149452,0.9800192585459798,0.9799359008536392,0.8656107546865113,0.7116682738669238,0.6878557458485051
18,0.0934148087646022,0.9701492537313433,0.970079780474879,0.3716800554086351,0.8746383799421408,0.8759909526568223
19,0.05546525177178961,0.9867597496389022,0.9867156356342843,0.2745673462438087,0.9064609450337512,0.9046777826242378
20,0.046971763568845665,0.9889263360616274,0.9888542938469138,0.1819269491566552,0.9421407907425265,0.9433182138755714
21,0.03672899252198862,0.990611458834858,0.990555731238726,0.5436944149227606,0.8331726133076182,0.82148411594457
22,0.04412259601733901,0.9879634087626384,0.9879655201992755,0.6613052778411657,0.8447444551591128,0.8101411882218024
23,0.04660325934828231,0.9870004814636495,0.9870048118150916,0.19133984795512837,0.9353905496624879,0.9372593196195691
24,0.04691675099346674,0.9853153586904189,0.9852191705190516,1.11021545697521,0.7357762777242044,0.6924902479205877
25,0.04051526788283478,0.9865190178141551,0.9863969778200308,0.14134220666407296,0.9508196721311475,0.9514189580534045
26,0.024513542821461506,0.9944631680308137,0.9944272013714514,0.12197771290731099,0.9614271938283511,0.961068083148796
27,0.01786680934442715,0.9973519499277804,0.9973307275117491,0.03835236343244711,0.9855351976856316,0.985470712587887
28,0.015696326905692167,0.9966297544535387,0.9966037164906904,0.666778278304264,0.8428158148505304,0.8266585573479336
29,0.02721024044986927,0.9935002407318247,0.9934772308762675,0.3106322472449392,0.90549662487946,0.8965869582527841
30,0.02232046957325303,0.9939817043813192,0.9939639319840136,0.027076621514020696,0.9864995178399228,0.9863918146902007
