epoch,train_loss,train_accuracy,train_macro_f1,valid_loss,valid_accuracy,valid_macro_f1
1,1.1701476789437808,0.5965334617236399,0.5938561408364922,0.7485478171075766,0.7492767598842816,0.7500653853719654
2,0.5423687978432729,0.8225806451612904,0.8218264242095572,0.4124415702544726,0.8698167791706847,0.8696280557758709
3,0.34448812062350603,0.8818006740491093,0.8813196148304625,0.373803950781719,0.8794599807135969,0.8783778545671188
4,0.25447450993009485,0.9162253249879634,0.9159076788510923,0.23965410886045832,0.9257473481195757,0.925525163811576
5,0.2093540832471962,0.9306692344727973,0.9304267284092218,0.2610283472575247,0.9016393442622951,0.9017357377476158
6,0.14863800391411552,0.9504092441020703,0.9502145623189606,0.25342143837075964,0.922854387656702,0.9211374593775266
7,0.1368057892836917,0.9564275397207511,0.9561653602574014,0.17877585336368962,0.940212150433944,0.9400367063940139
8,0.09399093434823534,0.9711121810303323,0.970949474098149,0.2463514964096248,0.9180327868852459,0.9177730455007267
9,0.08133332520150222,0.9735194992778046,0.9732845094358739,0.17002014125822684,0.9459980713596914,0.9460386795184517
10,0.07734484498729356,0.9752046220510352,0.9749916111699379,0.17881640028745796,0.9373191899710704,0.9365354567619295
11,0.07668844050226303,0.9759268175252769,0.97577341463901,0.1752652994849576,0.9421407907425265,0.9413985388200468
12,0.052607847861229226,0.9838709677419355,0.9837723762869972,0.18416203743858764,0.9363548698167792,0.9370103815281872
13,0.06208326291346636,0.9792970630717381,0.9793771583573517,0.2673376440773539,0.9064609450337512,0.9054536325839919
14,0.0439402174231453,0.9874819451131439,0.9874543999896327,0.15384728084251176,0.9537126325940212,0.9531322966171913
15,0.028267586622454332,0.9918151179585941,0.9917370730824955,0.1648520805089412,0.9479267116682739,0.9479396105269471
16,0.032445242945910786,0.9898892633606162,0.9898040785830957,0.14591756632200067,0.9517839922854388,0.9512963985169264
17,0.011556031653666511,0.997833413577275,0.9978096264667214,0.12914045733822815,0.9614271938283511,0.9611313888502664
18,0.009238793264152124,0.9980741454020221,0.9980535265964305,0.14849781982394725,0.9546769527483124,0.9541834989875861
19,0.020596681421962925,0.994703899855561,0.9946610429030199,0.23948907180008694,0.9276759884281581,0.9259791612218443
20,0.07240571508345266,0.9764082811747713,0.9764539102908874,0.29354214020254754,0.9132111861137898,0.9121978875831256
