epoch,train_loss,train_accuracy,train_macro_f1,valid_loss,valid_accuracy,valid_macro_f1
1,1.6780954273847433,0.37939335580163697,0.38118686298676563,1.3758599001627703,0.5515911282545806,0.5291977601723084
2,1.2827871822393857,0.551998074145402,0.5469900471454354,1.1631860067064945,0.6499517839922855,0.6512362086454615
3,1.1177350314763876,0.611218103033221,0.6077276246870551,1.0428825575571794,0.6624879459980714,0.654939346001783
4,1.0206612444840946,0.6461242176215696,0.6423203960020236,0.9565911803681116,0.7078109932497589,0.7023531982858335
5,0.9591743934613007,0.6718825228695233,0.6686137176016995,0.9038165978800792,0.7087753134040502,0.7060603871702638
6,0.9036448054588758,0.6899374097255657,0.6868363407602611,0.8537136186917241,0.7261330761812922,0.7208528633916763
7,0.8610339987736482,0.696437168993741,0.6932484887406588,0.8120882474602416,0.7512054001928641,0.7496851928517855
8,0.8231153687605491,0.7147327876745305,0.7131680512233749,0.7662555479731125,0.7753134040501446,0.7730810165526562
9,0.8079901888966561,0.7195474241694753,0.7176260830780807,0.7416888173669577,0.7782063645130183,0.7754876084267239
10,0.7798825300656832,0.72869523350987,0.7266062885072198,0.7192144270126636,0.7974927675988428,0.7961295758690545
11,0.7521422897393887,0.7378430428502648,0.7365269206079537,0.6994104703100255,0.7955641272902604,0.7971492790327321
12,0.7453171083560357,0.7359171882522869,0.7347687410072191,0.6771962205234628,0.7984570877531341,0.7951244400314813
13,0.7281856019909565,0.7371208473760231,0.7355461564811923,0.6627900190293216,0.8177434908389586,0.8175283565738121
14,0.7184426821195162,0.7481945113143957,0.7467847283497384,0.6464622891096111,0.8090646094503375,0.8076763621098084
15,0.7057235691409844,0.7498796340876264,0.748543612298386,0.6388363486155868,0.8254580520732884,0.8247281963906425
16,0.6961894039924328,0.7520462205103514,0.7506029355749404,0.6215775272343308,0.8244937319189971,0.8239383336642001
17,0.6830578879668162,0.7542128069330766,0.7530185025165816,0.6141530482671582,0.8244937319189971,0.8232878744300174
18,0.6693340849991029,0.7614347616754935,0.7609372470930678,0.6019710060603057,0.8235294117647058,0.8225845979119042
19,0.6594460409421187,0.7672123254694271,0.7665970220950311,0.5933687571480942,0.8283510125361621,0.8262563848789338
20,0.6712229382533293,0.7611940298507462,0.7601667298484933,0.5840676291702458,0.8273866923818708,0.8250071202449396
