epoch,train_loss,train_accuracy,train_macro_f1,valid_loss,valid_accuracy,valid_macro_f1
1,1.0891392835057698,0.6131439576311989,0.6082682947553899,0.5518742617004766,0.8032786885245902,0.8014326907104052
2,0.3964703001941626,0.8639865190178142,0.8638188550812974,0.21365002445124376,0.9296046287367405,0.929700239925918
3,0.23053065227487912,0.922002888781897,0.9216956937470103,0.20121900164477455,0.9257473481195757,0.9224412811487088
4,0.17844310165741123,0.9362060664419837,0.9356875177554531,0.14690533315879292,0.9488910318225651,0.9492312524504809
5,0.11817395049147308,0.9602792489167068,0.9600756043939064,0.10152783807861851,0.9614271938283511,0.9616061472623068
6,0.09910377465600434,0.964612421762157,0.9644556506934119,0.10558335503043893,0.9594985535197685,0.9591565953047158
7,0.09038953908647482,0.9670197400096293,0.9668558021991556,0.08681300706602298,0.973963355834137,0.9735875908081486
8,0.06135473823994219,0.9797785267212326,0.9796529872275201,0.3318306366808359,0.8987463837994214,0.8963383531912311
9,0.06800195621774317,0.9737602311025517,0.9736538394104681,0.2958745640793075,0.9045323047251688,0.9042887787593956
10,0.043512828542644946,0.9845931632161772,0.9844802984577732,0.11391298754042509,0.9566055930568949,0.9560086173611189
11,0.051689409116471116,0.9814636494944632,0.9813586801974333,0.0909617221534063,0.970106075216972,0.9697635254284486
12,0.043991589115466925,0.9824265767934521,0.9823422361839195,0.07112265353422957,0.973963355834137,0.9736332786737241
13,0.03698942877538054,0.9874819451131439,0.9874019322966876,0.32007428391872633,0.9112825458052073,0.9100958970294621
14,0.05977540003984289,0.9783341357727492,0.9782751290696373,0.09373522860482458,0.9681774349083896,0.9680100880937739
15,0.02217806322220825,0.9910929224843524,0.9910084491456592,0.10321593891209467,0.9633558341369335,0.9626474542839301
16,0.03522782332866672,0.9882041405873857,0.9881164133671825,0.14413224627158763,0.9450337512054002,0.9447008091090793
17,0.027001927336683506,0.9913336543090997,0.9912864324428423,0.060616491630477096,0.9787849566055931,0.9784957962664502
18,0.02023277825746146,0.9932595089070775,0.9932192251173633,0.10260269069102868,0.9662487945998072,0.9662668687745051
19,0.03746338390595226,0.9898892633606162,0.9898693970788848,0.09313878480235452,0.970106075216972,0.969730819022457
20,0.024016950315896023,0.9932595089070775,0.9932336508030675,0.08240245724412035,0.9749276759884281,0.9747138580035377
21,0.014695437258622126,0.994703899855561,0.9946855105380328,0.07321221649365357,0.9807135969141755,0.9805075818814334
22,0.03665450698126033,0.9865190178141551,0.9864708530435025,0.08374941302296905,0.9749276759884281,0.9745797384451078
23,0.021921728856656185,0.9927780452575831,0.9927926440614354,0.08460282464193063,0.9758919961427194,0.9756124187638563
24,0.006178560110660888,0.9985556090515166,0.9985593864735743,0.09905182697698356,0.9720347155255545,0.9716209513609295
25,0.01620437208898343,0.9939817043813192,0.9939839688863664,0.10657208795497074,0.9681774349083896,0.9680882844654302
26,0.04122660541213638,0.9853153586904189,0.9852637632228715,0.283481802164156,0.9315332690453231,0.9308327931499407
27,0.04111114140763535,0.9855560905151661,0.9854268191756365,0.08013641674090312,0.9681774349083896,0.9673946477416733
28,0.017949171177595136,0.9949446316803081,0.9948896042696698,0.08977702726584616,0.9758919961427194,0.9757575693186564
29,0.018159830355552214,0.9932595089070775,0.9932456752505372,0.07231181627678325,0.9768563162970106,0.9765304468022429
30,0.008690777368624718,0.9971112181030333,0.9970960182072932,0.09752061149847314,0.9729990356798457,0.9728355972725947
