epoch,train_loss,train_accuracy,train_macro_f1,valid_loss,valid_accuracy,valid_macro_f1
1,1.8990694504517776,0.3177660086663457,0.3225062807953608,1.617708231463577,0.4811957569913211,0.4403453366464054
2,1.4717225753344023,0.5026480500722196,0.49160092712716214,1.2014031033172752,0.6229508196721312,0.6074829141858724
3,1.0954700749654036,0.6331246990852191,0.6274439727186518,0.856978624212471,0.7184185149469624,0.7078636937783318
4,0.8161396038073759,0.7347135291285508,0.7321336871839761,0.6813653036105362,0.7714561234329798,0.7697891299492965
5,0.6141741725114676,0.8050072219547424,0.8043845175284303,0.5653679449336998,0.8003857280617165,0.794897293758386
6,0.4766021796143972,0.8454501685122773,0.8441734602518958,0.39148198348949803,0.8688524590163934,0.8688160158307461
7,0.3852797339742,0.8745787193066924,0.8741170939778367,0.3390159195317238,0.8852459016393442,0.8853016187937186
8,0.32071284582981696,0.8952816562349543,0.8948512414741419,0.3059970332154383,0.8891031822565092,0.8890643029677949
9,0.26817676367668003,0.912614347616755,0.9125006289775766,0.26618903464016813,0.9161041465766635,0.916077411502904
10,0.25745159972172516,0.9174289841116996,0.9170110331224703,0.256355434296314,0.9132111861137898,0.9121092718941097
11,0.21053509574670057,0.9333172845450168,0.9330478957389966,0.23300100461523415,0.9218900675024108,0.92209270776848
12,0.18702833477694256,0.938613384689456,0.9384019011203077,0.22637253760529513,0.9218900675024108,0.921705073035545
13,0.16841424958637127,0.943909484833895,0.9436063931883314,0.22032205218265793,0.926711668273867,0.9264494173442677
14,0.1784851054732616,0.9378911892152143,0.9375690870929017,0.24188731379179057,0.9238187078109933,0.92405273773919
15,0.15131519187528353,0.9506499759268175,0.9503481318097077,0.2479955919676065,0.9189971070395371,0.9180481323555296
