epoch,train_loss,train_mpjpe_norm,train_visibility_accuracy,valid_loss,valid_mpjpe_norm,valid_visibility_accuracy
1,0.04496531871935496,0.12078814953565598,0.9190120071172714,0.03194966125231462,0.08838554449153668,0.9427104809067466
2,0.02960147400601552,0.09569398772258025,0.9471797654261955,0.028035667872190417,0.07837508641409152,0.9486871560414633
3,0.026225601623837764,0.08661889216074577,0.950301435819039,0.025965363647132603,0.07323934329730092,0.9497241070776274
4,0.023795020107466442,0.08097281828522682,0.9526984146008125,0.024343988751008346,0.06897718493234027,0.9520537672620831
5,0.022212208528071643,0.07725973398639606,0.9542851874461541,0.023534605585044836,0.0682222606106238,0.953607591715726
6,0.021082498978536864,0.07454841102545078,0.9554377537507277,0.023030117084448593,0.06760913641615347,0.9537431073911262
7,0.02022763558735068,0.07346171060433755,0.9567141179855053,0.022904276404226424,0.06562503991704999,0.9540516192262823
8,0.019259038732315485,0.0715927122017512,0.9582424920338851,0.021946247315072193,0.06483973190188408,0.9548762007193132
